Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-03-14T11:31:00Z,BTCUSDT,38934.51,-0.02315288,Market,Filled,-901.4460379, 
2022-03-14T11:31:00Z,BTCUSDT,0,0.02315288,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-14T14:12:00.0000000Z 
2022-03-14T11:31:00Z,BTCUSDT,39170.29,0.02315288,Stop Limit,Filled,906.9050239,Stop Market 
2022-03-14T16:06:00Z,BTCUSDT,38875.33,-0.02303271,Market,Filled,-895.404202, 
2022-03-14T16:06:00Z,BTCUSDT,0,0.02303271,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-14T22:43:00.0000000Z 
2022-03-14T16:06:00Z,BTCUSDT,39140.62,0.02303271,Stop Limit,Filled,901.5145497,Stop Market 
2022-03-15T01:14:00Z,BTCUSDT,39214.22,-0.02265904,Market,Filled,-888.5565795, 
2022-03-15T01:14:00Z,BTCUSDT,38508.36,0.02265904,Limit,Filled,872.5624696,Top Profit Limit 
2022-03-15T01:14:00Z,BTCUSDT,0,0.02265904,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-15T07:12:00.0000000Z 
2022-03-15T09:30:00Z,BTCUSDT,38593.83,0.0234302,Market,Filled,904.2611557, 
2022-03-15T09:30:00Z,BTCUSDT,39288.52,-0.02342082,Limit,Filled,-920.169355,Top Profit Limit 
2022-03-15T09:30:00Z,BTCUSDT,0,-0.02342082,Stop Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-15T16:46:00.0000000Z 
2022-03-15T20:56:00Z,BTCUSDT,39433.43,-0.02330886,Market,Filled,-919.1482992, 
2022-03-15T20:56:00Z,BTCUSDT,0,0.02330886,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-15T22:01:00.0000000Z 
2022-03-15T20:56:00Z,BTCUSDT,39709.46,0.02330886,Stop Limit,Filled,925.5822438,Stop Market 
2022-03-15T22:42:00Z,BTCUSDT,39458.78,-0.02311521,Market,Filled,-912.097986, 
2022-03-15T22:42:00Z,BTCUSDT,0,0.02311521,Limit,Canceled,0,Canceled by CancelOpenOrders() at 2022-03-16T02:05:00.0000000Z 
